date,stock_id,Trading_Volume,Trading_money,open,max,min,close,spread,Trading_turnover
2025-01-02,0050,14166530,2749829175,195.65,195.65,193.25,194.05,-1.7,31266
2025-01-03,0050,7453437,1461802474,196.0,196.95,195.2,196.0,1.95,10588
2025-01-06,0050,26355410,5292043270,198.65,202.3,198.6,202.15,6.15,34845
2025-01-07,0050,16788119,3443887469,204.95,206.0,204.25,204.4,2.25,19592
2025-01-08,0050,12435236,2513950378,202.65,203.35,201.05,201.35,-3.05,17431
2025-01-09,0050,9097699,1819154055,200.2,201.15,199.0,199.05,-2.3,18459
2025-01-10,0050,9049013,1797943690,199.0,199.55,198.0,199.0,-0.05,19280
2025-01-13,0050,23384365,4565969494,199.0,199.0,194.1,194.4,-4.6,52476
2025-01-14,0050,11499417,2243491830,194.7,195.9,194.05,195.6,1.2,15424
2025-01-15,0050,18681935,3630590932,196.0,196.0,193.75,194.1,-1.5,32605
2025-01-16,0050,16107492,3194706441,197.9,199.5,197.4,198.05,3.95,15522
2025-01-17,0050,15650604,3065950866,197.0,197.35,194.4,196.3,0.0,16641
2025-01-20,0050,7861450,1558092202,197.15,198.65,197.15,198.3,2.0,13583
2025-01-21,0050,11024727,2185037920,197.3,199.2,196.7,198.7,0.4,11705
2025-01-22,0050,13730665,2759777870,200.3,201.7,200.3,201.3,2.6,18273
2025-02-03,0050,64929799,12468670503,192.3,193.0,190.65,192.7,-8.6,152822
2025-02-04,0050,20895891,4052034043,193.65,194.55,193.05,193.85,1.15,34108
2025-02-05,0050,16043648,3163809227,195.75,197.8,195.75,196.8,2.95,22885
2025-02-06,0050,11822167,2338213453,198.0,198.4,197.1,197.65,0.85,18509
2025-02-07,0050,6126992,1212818127,197.65,198.6,197.1,198.55,0.9,13873
2025-02-10,0050,18366301,3613707048,198.2,198.2,196.1,196.3,-2.25,44790
2025-02-11,0050,5419925,1071645166,197.5,198.5,197.0,197.5,1.2,12095
2025-02-12,0050,7415810,1466223019,198.0,198.65,197.0,197.2,-0.3,15416
2025-02-13,0050,15306893,3006548197,197.3,197.4,195.55,196.35,-0.85,25922
2025-02-14,0050,26452171,5136323011,195.15,195.15,193.5,194.0,-2.35,69782
2025-02-17,0050,12309880,2415311176,194.75,196.95,194.75,196.95,2.95,21505
2025-02-18,0050,8791794,1734030140,197.9,197.9,196.6,197.65,0.7,18529
2025-02-19,0050,12820440,2531376761,197.65,197.9,197.0,197.3,-0.35,23441
2025-02-20,0050,15504294,3036131580,196.95,196.95,195.1,196.55,-0.75,35876
2025-02-21,0050,9097283,1795160598,196.5,197.95,195.9,197.95,1.4,16607
2025-02-24,0050,14227193,2788014198,196.15,196.4,195.5,196.2,-1.75,37877
2025-02-25,0050,31389673,6070255996,194.0,194.05,192.6,193.65,-2.55,88376
2025-02-26,0050,19951637,3853695188,192.9,194.7,191.9,194.7,1.05,37866
