date,stock_id,Trading_Volume,Trading_money,open,max,min,close,spread,Trading_turnover
2024-01-02,2330,27997826,16549619798,590.0,593.0,589.0,593.0,0.0,20667
2024-01-03,2330,40134497,23267025945,584.0,585.0,576.0,578.0,-15.0,56916
2024-01-04,2330,18063758,10466284102,580.0,581.0,577.0,580.0,2.0,15010
2024-01-05,2330,22008878,12685460114,578.0,580.0,574.0,576.0,-4.0,28660
2024-01-08,2330,19270119,11232942053,582.0,585.0,579.0,583.0,7.0,19950
2024-01-09,2330,23718766,13909252422,588.0,589.0,583.0,586.0,3.0,23975
2024-01-10,2330,13708117,8006229126,581.0,586.0,580.0,584.0,-2.0,16104
2024-01-11,2330,27842729,16323168586,586.0,589.0,583.0,586.0,2.0,20754
2024-01-12,2330,17636558,10304253419,581.0,588.0,581.0,584.0,-2.0,15765
2024-01-15,2330,21900687,12873769022,590.0,590.0,585.0,586.0,2.0,21886
2024-01-16,2330,28889681,16817280777,581.0,588.0,579.0,580.0,-6.0,21938
2024-01-17,2330,46857735,27229863028,583.0,584.0,578.0,581.0,1.0,28790
2024-01-18,2330,36746623,21575062923,586.0,589.0,585.0,588.0,7.0,28621
2024-01-19,2330,176166037,109423769320,625.0,627.0,614.0,626.0,38.0,207364
2024-01-22,2330,70829523,44436449501,633.0,633.0,623.0,626.0,0.0,56376
2024-01-23,2330,45761889,28681559251,629.0,629.0,622.0,628.0,2.0,34729
2024-01-24,2330,29905121,18779693566,628.0,630.0,624.0,627.0,-1.0,27062
2024-01-25,2330,59214638,37803501446,635.0,642.0,633.0,642.0,15.0,85006
2024-01-26,2330,44103850,28392638215,644.0,646.0,639.0,644.0,2.0,41691
2024-01-29,2330,29828008,19268444564,646.0,648.0,644.0,648.0,4.0,32347
2024-01-30,2330,40398877,26028211247,642.0,647.0,642.0,642.0,-6.0,35002
2024-01-31,2330,47554701,29978630024,634.0,637.0,626.0,628.0,-14.0,61811
2024-02-01,2330,46924943,29237425981,625.0,628.0,619.0,628.0,0.0,51671
2024-02-02,2330,27797894,17563853315,633.0,635.0,628.0,635.0,7.0,22257
2024-02-05,2330,48037344,30931242935,645.0,647.0,638.0,646.0,11.0,51065
2024-02-15,2330,132263803,92592826951,709.0,709.0,693.0,697.0,51.0,130374
2024-02-16,2330,48963167,33742716965,697.0,699.0,683.0,683.0,-14.0,56882
2024-02-19,2330,36366837,24665534552,674.0,682.0,674.0,678.0,-5.0,35240
2024-02-20,2330,31403730,21494427969,675.0,688.0,675.0,687.0,9.0,32847
2024-02-21,2330,31980543,21748906940,678.0,683.0,678.0,681.0,-6.0,36004
2024-02-22,2330,34269392,23664176835,695.0,695.0,685.0,692.0,11.0,36998
2024-02-23,2330,48404478,33847447281,701.0,703.0,696.0,697.0,5.0,48018
2024-02-26,2330,29976379,20917136411,700.0,700.0,695.0,698.0,1.0,25850
2024-02-27,2330,35389548,24647159479,700.0,701.0,691.0,698.0,0.0,31145
2024-02-29,2330,59337072,40973093720,691.0,698.0,688.0,690.0,-8.0,39066
2024-03-01,2330,24167721,16699995060,697.0,697.0,688.0,689.0,-1.0,26282
2024-03-04,2330,97210112,69868348694,714.0,725.0,711.0,725.0,36.0,125799
2024-03-05,2330,73299411,53751887376,735.0,738.0,728.0,730.0,5.0,69851
2024-03-06,2330,52464833,38203868985,718.0,738.0,717.0,735.0,5.0,49897
2024-03-07,2330,80382406,61221034146,755.0,769.0,754.0,760.0,25.0,96348
2024-03-08,2330,98069174,77295575097,795.0,796.0,772.0,784.0,24.0,110758
2024-03-11,2330,73436931,56348050108,768.0,778.0,761.0,766.0,-18.0,107368
2024-03-12,2330,63336798,48288411581,757.0,771.0,754.0,770.0,4.0,56154
2024-03-13,2330,43130896,33672441212,785.0,785.0,777.0,779.0,9.0,37744
2024-03-14,2330,48964017,38196293503,779.0,785.0,770.0,784.0,5.0,35137
2024-03-15,2330,80580846,61451780435,771.0,777.0,753.0,753.0,-31.0,95014
2024-03-18,2330,46006400,34967084535,754.0,765.0,754.0,764.0,0.0,40073
2024-03-19,2330,32078900,24399917859,758.0,765.0,755.0,762.0,-2.0,31208
2024-03-20,2330,48788389,37117091830,764.0,769.0,752.0,758.0,-4.0,46702
2024-03-21,2330,47759094,37203673872,773.0,784.0,772.0,784.0,26.0,48467
2024-03-22,2330,32629749,25521571701,788.0,789.0,775.0,785.0,1.0,33054
2024-03-25,2330,21223414,16612693369,783.0,788.0,779.0,780.0,-5.0,24794
2024-03-26,2330,43103294,33847261033,788.0,792.0,776.0,782.0,2.0,35046
2024-03-27,2330,19732209,15418346943,785.0,785.0,779.0,779.0,-3.0,21006
2024-03-28,2330,28393398,21889883699,774.0,776.0,768.0,769.0,-10.0,39848
2024-03-29,2330,20212820,15682908766,769.0,781.0,768.0,779.0,10.0,18110
2024-04-01,2330,22348250,17301753062,783.0,783.0,769.0,770.0,-9.0,28192
2024-04-02,2330,42219075,33230356267,784.0,790.0,783.0,790.0,20.0,41138
2024-04-03,2330,32909892,25719094412,783.0,785.0,778.0,780.0,-10.0,36003
2024-04-08,2330,40567580,31925988285,789.0,792.0,783.0,783.0,3.0,29304
2024-04-09,2330,61642573,49946542596,795.0,820.0,792.0,819.0,36.0,89138
2024-04-10,2330,31109466,25358780514,815.0,819.0,810.0,815.0,-4.0,39131
2024-04-11,2330,27772972,22655121636,811.0,820.0,811.0,820.0,5.0,34739
2024-04-12,2330,32473155,26663806808,823.0,826.0,817.0,818.0,-2.0,38091
2024-04-15,2330,41251141,33300372097,804.0,812.0,803.0,806.0,-12.0,60451
2024-04-16,2330,54120813,42833069476,802.0,803.0,785.0,788.0,-18.0,127956
2024-04-17,2330,36616351,29324186091,798.0,808.0,793.0,804.0,16.0,43890
2024-04-18,2330,45765617,36684269610,796.0,810.0,792.0,804.0,0.0,46571
2024-04-19,2330,143868560,109032970933,769.0,770.0,746.0,750.0,-54.0,356590
2024-04-22,2330,52354944,39093628250,740.0,757.0,740.0,742.0,-8.0,103120
2024-04-23,2330,32067682,24247217869,761.0,761.0,752.0,754.0,12.0,34807
2024-04-24,2330,41652749,32458429294,770.0,785.0,769.0,783.0,29.0,58442
2024-04-25,2330,30492037,23412746667,770.0,774.0,765.0,766.0,-17.0,64220
2024-04-26,2330,34721905,27272338208,788.0,789.0,782.0,782.0,16.0,42824
2024-04-29,2330,30704200,24322394064,790.0,795.0,787.0,795.0,13.0,35585
2024-04-30,2330,41627249,33118845170,797.0,802.0,790.0,790.0,-5.0,40926
2024-05-02,2330,47536363,36983047647,789.0,789.0,772.0,772.0,-18.0,85051
2024-05-03,2330,31026748,24240817990,788.0,788.0,773.0,780.0,8.0,35153
2024-05-06,2330,33733509,26644713164,791.0,793.0,786.0,786.0,6.0,32394
2024-05-07,2330,35917824,28623349239,797.0,800.0,792.0,800.0,14.0,38340
2024-05-08,2330,22585765,18032263877,794.0,802.0,792.0,802.0,2.0,23525
2024-05-09,2330,22863681,18267303103,798.0,802.0,796.0,796.0,-6.0,23671
2024-05-10,2330,27560431,22107595449,803.0,807.0,798.0,802.0,6.0,41029
2024-05-13,2330,38146948,31315059679,823.0,825.0,818.0,819.0,17.0,49327
2024-05-14,2330,29663617,24309306615,816.0,825.0,811.0,825.0,6.0,34685
2024-05-15,2330,41805778,35112739055,838.0,844.0,837.0,839.0,14.0,57892
2024-05-16,2330,46276890,39179826883,852.0,856.0,837.0,841.0,2.0,60617
2024-05-17,2330,27855719,23373478247,848.0,848.0,834.0,835.0,-6.0,38718
2024-05-20,2330,30148330,25069342221,834.0,838.0,822.0,835.0,0.0,43094
2024-05-21,2330,20548110,17214095315,830.0,841.0,830.0,841.0,6.0,20770
2024-05-22,2330,40904357,35027824713,845.0,865.0,843.0,864.0,23.0,63360
2024-05-23,2330,40771207,35638205695,875.0,877.0,867.0,875.0,11.0,50325
2024-05-24,2330,37353467,32358555678,858.0,872.0,858.0,867.0,-8.0,50611
2024-05-27,2330,32691921,28496096179,872.0,878.0,866.0,869.0,2.0,42682
2024-05-28,2330,32712504,28375286215,867.0,873.0,865.0,865.0,-4.0,37323
2024-05-29,2330,51073346,43924367680,861.0,868.0,856.0,857.0,-8.0,67680
2024-05-30,2330,42535118,35840589611,841.0,848.0,838.0,838.0,-19.0,110390
2024-05-31,2330,90177283,74602358441,838.0,846.0,821.0,821.0,-17.0,102070
2024-06-03,2330,29629706,25053781742,839.0,853.0,837.0,846.0,25.0,40694
2024-06-04,2330,31031104,26107162214,844.0,851.0,837.0,839.0,-7.0,52392
2024-06-05,2330,37531781,31774150536,841.0,857.0,835.0,854.0,15.0,41869
2024-06-06,2330,67300344,60138015941,893.0,899.0,885.0,894.0,40.0,112332
2024-06-07,2330,44489018,39240336617,885.0,888.0,879.0,879.0,-15.0,85990
2024-06-11,2330,57435637,51091497348,892.0,895.0,883.0,883.0,4.0,47589
2024-06-12,2330,51874967,46791431521,888.0,914.0,888.0,909.0,26.0,74526
2024-06-13,2330,59656092,54980784829,923.0,935.0,911.0,919.0,0.0,98777
2024-06-14,2330,43289572,39603293460,916.0,922.0,905.0,922.0,3.0,62552
2024-06-17,2330,28796529,26475733502,913.0,925.0,913.0,921.0,-1.0,44582
2024-06-18,2330,40870419,38583515635,944.0,950.0,940.0,943.0,22.0,55791
2024-06-19,2330,76684138,74395758883,953.0,984.0,953.0,981.0,38.0,117235
2024-06-20,2330,52144900,50859632569,971.0,981.0,971.0,981.0,0.0,107978
2024-06-21,2330,97995843,94882220706,961.0,978.0,960.0,970.0,-11.0,131503
2024-06-24,2330,74081708,70162177693,958.0,960.0,940.0,940.0,-30.0,227255
2024-06-25,2330,62079701,57978440842,925.0,945.0,923.0,945.0,5.0,103844
2024-06-26,2330,48821135,46668874056,951.0,960.0,951.0,960.0,15.0,56563
2024-06-27,2330,41276086,39447006518,951.0,961.0,949.0,960.0,0.0,41133
2024-06-28,2330,42998776,41476565443,956.0,971.0,955.0,966.0,6.0,42853
2024-07-01,2330,20936005,20320957284,968.0,977.0,965.0,968.0,2.0,38293
2024-07-02,2330,27992930,26971516491,967.0,971.0,959.0,960.0,-8.0,38928
2024-07-03,2330,25022531,24386705873,976.0,979.0,967.0,979.0,19.0,36096
2024-07-04,2330,47251502,47347126144,1000.0,1010.0,997.0,1005.0,26.0,92002
2024-07-05,2330,21735614,21827958195,1005.0,1010.0,1000.0,1005.0,0.0,35802
2024-07-08,2330,45678332,47210175550,1005.0,1050.0,1000.0,1035.0,30.0,74909
2024-07-09,2330,54339957,56382512235,1030.0,1055.0,1025.0,1040.0,5.0,74954
2024-07-10,2330,51810372,53308027550,1020.0,1050.0,1015.0,1045.0,5.0,61199
2024-07-11,2330,49304453,52782475514,1065.0,1080.0,1055.0,1080.0,35.0,65005
2024-07-12,2330,79472761,82222185037,1030.0,1045.0,1025.0,1040.0,-40.0,175230
2024-07-15,2330,44123104,45805242410,1040.0,1045.0,1025.0,1040.0,0.0,51387
2024-07-16,2330,36244442,38188299315,1040.0,1070.0,1035.0,1055.0,15.0,42202
2024-07-17,2330,62390596,64372740657,1035.0,1045.0,1020.0,1030.0,-25.0,140918
2024-07-18,2330,94327431,93948039256,988.0,1005.0,986.0,1005.0,-25.0,305207
2024-07-19,2330,110541544,108678133437,988.0,995.0,970.0,970.0,-35.0,475484
2024-07-22,2330,90266550,85567920175,964.0,965.0,938.0,939.0,-31.0,307235
2024-07-23,2330,53439290,51686291065,963.0,979.0,956.0,979.0,40.0,96981
2024-07-26,2330,95625050,88299582909,915.0,930.0,915.0,924.0,-55.0,357707
2024-07-29,2330,44000914,41481319942,942.0,948.0,936.0,944.0,20.0,78605
2024-07-30,2330,45996400,42988422577,930.0,949.0,926.0,940.0,-4.0,86139
2024-07-31,2330,47407263,44270020990,929.0,940.0,928.0,934.0,-6.0,62829
2024-08-01,2330,50257642,48211390158,969.0,969.0,948.0,960.0,26.0,66845
2024-08-02,2330,89044852,81488499047,918.0,928.0,903.0,903.0,-57.0,451562
2024-08-05,2330,159662795,133482646539,852.0,857.0,813.0,815.0,-88.0,588373
2024-08-06,2330,108521787,94271532567,868.0,895.0,840.0,880.0,65.0,189677
2024-08-07,2330,62643163,56900026373,901.0,920.0,893.0,920.0,40.0,109333
2024-08-08,2330,41288222,37045507217,901.0,905.0,887.0,896.0,-24.0,107303
2024-08-09,2330,54464183,50586946042,927.0,934.0,922.0,934.0,38.0,94661
2024-08-12,2330,40968742,38572439136,942.0,948.0,931.0,940.0,6.0,73731
2024-08-13,2330,26831364,25227760336,945.0,945.0,937.0,941.0,1.0,39633
2024-08-14,2330,40527779,38507151446,951.0,955.0,945.0,948.0,7.0,56190
2024-08-15,2330,21714163,20528538286,945.0,950.0,941.0,943.0,-5.0,42553
2024-08-16,2330,49830670,48022581452,963.0,969.0,958.0,969.0,26.0,86023
